,Task_ID_x,Task,Job_Title,Function,Answer_17,Answer_18,Answer_19,Answer_20,Answer_21,EPOCH_ml,avg_epoch
7020,18017,monitor or evaluate medical conditions of patients in collaboration with other health care professionals,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7021,20416,design evaluation programs regarding the quality and effectiveness of nursing practice or organizational systems,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,3,3,4,4,4,-0.6628602245631109,3.6
7022,18000,coordinate or conduct educational programs or inservice training sessions on topics such as clinical procedures,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
7023,18001,observe interview and assess patients to identify care needs,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7024,20418,lead nursing department implementation of or compliance with regulatory or accreditation processes,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,3,3,4,3,4,-0.6285959149061263,3.4
7025,18012,present clients with information required to make informed health care and treatment decisions,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7026,18018,participate in clinical research projects such as by reviewing protocols reviewing patient records monitoring compliance and meeting with regulatory authorities,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
7027,20419,chair nursing departments or committees,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,3,4,3,4,-0.9421269402806898,3.6
7028,20417,design patient education programs that include information required to make informed health care and treatment decisions,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,3,4,4,3,-0.9087968988880399,3.6
7029,18003,provide direct care by performing comprehensive health assessments developing differential diagnoses conducting specialized tests or prescribing medications or treatments,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7032,18015,identify training needs or conduct training sessions for nursing students or medical staff,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
7033,18019,perform discharge planning for patients,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7034,20420,teach patient education programs that include information required to make informed health care and treatment decisions,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7035,18361,manage patients airway or pulmonary status using techniques such as endotracheal intubation mechanical ventilation pharmacological support respiratory therapy and extubation,Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7036,18365,respond to emergency situations by providing airway management administering emergency fluids or drugs or using basic or advanced cardiac life support techniques,Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7038,18366,select order or administer anesthetics adjuvant drugs accessory drugs fluids or blood products as necessary,Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
7041,18363,perform or manage regional anesthetic techniques such as local spinal epidural caudal nerve blocks and intravenous blocks,Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
7042,18368,develop anesthesia care plans,Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7047,18355,evaluate patients postsurgical or postanesthesia responses taking appropriate corrective actions or requesting consultation if complications occur,Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7048,18354,administer postanesthesia medications or fluids to support patients cardiovascular systems,Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,3,4,4,3,3,-0.7821969764111386,3.4
7049,18357,select and prescribe postanesthesia medications or treatments to patients,Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7051,18358,select order or administer preanesthetic medications,Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,3,4,4,3,3,-0.7821969764111386,3.4
7057,18375,instruct nurses residents interns students or other staff on topics such as anesthetic techniques pain management and emergency responses,Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7059,18442,provide prenatal intrapartum postpartum or newborn care to patients,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7063,18454,prescribe medications as permitted by state regulations,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
7064,18447,develop and implement individualized plans for health care management,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7065,18449,explain procedures to patients family members staff members or others,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7067,18450,initiate emergency interventions to stabilize patients,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7069,18441,educate patients and family members regarding prenatal intrapartum postpartum newborn or interconception care,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7072,18452,provide primary health care including pregnancy and childbirth to women,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7073,18446,consult with or refer patients to appropriate specialists when conditions exceed the scope of practice or expertise,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,4,4,2,3,-1.0614636921287175,3.4
7075,23919,instruct student nurse midwives medical students or residents on the birthing process,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
7076,18458,establish practice guidelines for specialty areas such as primary health care of women care of the childbearing family and newborn care,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,3,4,4,4,-0.9763912499376743,3.8
7077,18460,plan provide or evaluate educational programs for nursing staff health care teams or the community,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
7078,18457,conduct clinical research on topics such as maternal or infant health care contraceptive methods breastfeeding and gynecological care,Nurse Midwives,Healthcare Practitioners and Technical Occupations,3,3,4,4,4,-0.6628602245631109,3.6
7079,18451,manage newborn care during the first weeks of life,Nurse Midwives,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7081,18389,develop treatment plans based on scientific rationale standards of care and professional practice guidelines,Nurse Practitioners,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
7082,18393,provide patients with information needed to promote health reduce risk factors or prevent disease or disability,Nurse Practitioners,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7083,18382,analyze and interpret patients histories symptoms physical findings or diagnostic information to develop appropriate diagnoses,Nurse Practitioners,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
7084,18385,diagnose or treat complex unstable comorbid episodic or emergency conditions in collaboration with other health care providers as necessary,Nurse Practitioners,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7086,18384,diagnose or treat chronic health care problems such as high blood pressure and diabetes,Nurse Practitioners,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7087,18392,prescribe medications based on efficacy safety and cost as legally authorized,Nurse Practitioners,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7088,18394,recommend diagnostic or therapeutic interventions with attention to safety cost invasiveness simplicity acceptability adherence and efficacy,Nurse Practitioners,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
7089,18388,detect and respond to adverse drug reactions with special attention to vulnerable populations such as infants children pregnant and lactating women or older adults,Nurse Practitioners,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7090,18383,diagnose or treat acute health care problems such as illnesses infections or injuries,Nurse Practitioners,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
